SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,Qm
,1,50,4.04,1.91,58.69,,2,28.2274
,1,50,4.04,1.91,58.69,,3,33.4448
,1,50,4.04,1.91,58.69,,4,38.56185
,1,50,4.04,1.91,58.69,,5,44.9833
,1,50,4.04,1.91,58.69,,6,48.194
,1,50,4.04,1.91,58.69,,7,46.88965
,1,50,4.04,1.91,58.69,,8,45.18395
,1,50,4.04,1.91,58.69,30,6,46.09375
,1,50,4.04,1.91,58.69,40,6,42.3828
,1,50,4.04,1.91,58.69,50,6,39.5508
,1,50,4.04,1.91,58.69,60,6,35.2539
,1,15.3928,4.04,1.91,58.69,30,6,218.751
,1,37.155,4.04,1.91,58.69,30,6,294.607
,1,67.4098,4.04,1.91,58.69,30,6,349.134
,1,107.219,4.04,1.91,58.69,30,6,383.847
,1,154.459,4.04,1.91,58.69,30,6,401.797
,2.5,17.9006,4.04,1.91,58.69,30,6,202.875
,2.5,42.0845,4.04,1.91,58.69,30,6,267.94
,2.5,73.3978,4.04,1.91,58.69,30,6,315.193
,2.5,10.576,4.04,1.91,58.69,30,6,100.689
,2.5,26.3314,4.04,1.91,58.69,30,6,185.055
,2.5,49.8646,4.04,1.91,58.69,30,6,250.124
,2.5,83.7689,4.04,1.91,58.69,30,6,289.957
,2.5,124.157,4.04,1.91,58.69,30,6,314.942
,2.5,169.08,4.04,1.91,58.69,30,6,328.054
,2.5,216.597,4.04,1.91,58.69,30,6,335.227
,2.5,262.167,4.04,1.91,58.69,30,6,345.372
,2.5,20.2963,4.04,1.91,58.69,30,6,75.4553
,2.5,39.9418,4.04,1.91,58.69,30,6,150.914
,2.5,68.6618,4.04,1.91,58.69,30,6,204.105
,2.5,107.104,4.04,1.91,58.69,30,6,233.545
,2.5,150.731,4.04,1.91,58.69,30,6,249.626
,2.5,198.246,4.04,1.91,58.69,30,6,255.317
,2.5,245.113,4.04,1.91,58.69,30,6,262.493
,2.5,288.73,4.04,1.91,58.69,30,6,272.648
,1,50,4.26,1.6,112.41,,2,24.9164
,1,50,4.26,1.6,112.41,,3,31.0368
,1,50,4.26,1.6,112.41,,4,35.25085
,1,50,4.26,1.6,112.41,,5,43.17725
,1,50,4.26,1.6,112.41,,6,46.08695
,1,50,4.26,1.6,112.41,,7,44.38125
,1,50,4.26,1.6,112.41,,8,43.17725
,1,50,4.26,1.6,112.41,30,6,43.9453
,1,50,4.26,1.6,112.41,40,6,40.625
,1,50,4.26,1.6,112.41,50,6,37.0117
,1,50,4.26,1.6,112.41,60,6,33.6914
,1,3.19149,4.26,1.6,112.41,30,6,115.068
,1,14.8936,4.26,1.6,112.41,30,6,210.959
,1,38.2979,4.26,1.6,112.41,30,6,279.452
,1,62.234,4.26,1.6,112.41,30,6,343.836
,1,102.128,4.26,1.6,112.41,30,6,369.863
,1,151.064,4.26,1.6,112.41,30,6,372.603
,1,196.277,4.26,1.6,112.41,30,6,384.932
,1,243.617,4.26,1.6,112.41,30,6,390.411
,1,50,4.3,1.6,65.93,,2,21.7057
,1,50,4.3,1.6,65.93,,3,26.1204
,1,50,4.3,1.6,65.93,,4,30.2341
,1,50,4.3,1.6,65.93,,5,37.55855
,1,50,4.3,1.6,65.93,,6,44.1806
,1,50,4.3,1.6,65.93,,7,41.67225
,1,50,4.3,1.6,65.93,,8,39.8662
,1,50,4.3,1.6,65.93,30,6,38.28125
,1,50,4.3,1.6,65.93,40,6,35.0586
,1,50,4.3,1.6,65.93,50,6,32.3242
,1,50,4.3,1.6,65.93,60,6,29.4922
,1,23.1787,4.3,1.6,65.93,30,6,193.313
,1,48.3147,4.3,1.6,65.93,30,6,255.319
,1,80.3575,4.3,1.6,65.93,30,6,300.304
,1,121.433,4.3,1.6,65.93,30,6,323.404
4000,16.7,5,4.01,2.33,207.2,25,,8.70E-05
4000,16.7,5,4.01,2.33,207.2,25,,7.83E-05
4000,16.7,5,4.19,1.9,63.55,25,,0.0002
4000,16.7,5,4.19,1.9,63.55,25,,3.36E-05
4000,16.7,5,4.26,1.6,112.41,25,,1.74E-05
4000,16.7,5,4.26,1.6,112.41,25,,1.12E-05
,10,20,4.01,2.33,207.2,25,2,1.100256
,10,20,4.01,2.33,207.2,25,3,1.280306
,10,20,4.01,2.33,207.2,25,4,1.460358
,10,20,4.01,2.33,207.2,25,5,1.70179
,10,20,4.01,2.33,207.2,25,6,1.740664
,10,20,4.01,2.33,207.2,25,8,1.740664
,10,20,4.01,2.33,207.2,25,10,1.734526
,10,20,4.01,2.33,207.2,25,12,1.72225
,10,20,4.01,2.33,207.2,25,14,1.714066
,10,20,4.01,2.33,207.2,25,6,1.680512
,10,40,4.01,2.33,207.2,25,6,3.4
,10,60,4.01,2.33,207.2,25,6,5.221536
,10,80,4.01,2.33,207.2,25,6,6.642048
,10,100,4.01,2.33,207.2,25,6,8
,10,20,4.01,2.33,207.2,25,6,1.680332
,15,20,4.01,2.33,207.2,25,6,1.160110667
,20,20,4.01,2.33,207.2,25,6,0.859778
,25,20,4.01,2.33,207.2,25,6,0.6718672
,30,20,4.01,2.33,207.2,25,6,0.566759333
,10,20,4.26,1.6,112.41,25,2,1.079796
,10,20,4.26,1.6,112.41,25,3,1.218926
,10,20,4.26,1.6,112.41,25,4,1.441944
,10,20,4.26,1.6,112.41,25,5,1.64041
,10,20,4.26,1.6,112.41,25,6,1.699744
,10,20,4.26,1.6,112.41,25,8,1.693606
,10,20,4.26,1.6,112.41,25,10,1.687468
,10,20,4.26,1.6,112.41,25,12,1.679284
,10,20,4.26,1.6,112.41,25,14,1.667008
,10,20,4.26,1.6,112.41,25,6,1.64
,10,40,4.26,1.6,112.41,25,6,3.32
,10,60,4.26,1.6,112.41,25,6,5.101536
,10,80,4.26,1.6,112.41,25,6,6.48
,10,100,4.26,1.6,112.41,25,6,7.9
,10,20,4.26,1.6,112.41,25,6,1.620498
,15,20,4.26,1.6,112.41,25,6,1.133518667
,20,20,4.26,1.6,112.41,25,6,0.840166
,25,20,4.26,1.6,112.41,25,6,0.6561776
,30,20,4.26,1.6,112.41,25,6,0.553462667
,0.5,10,,2,200.59,25,4,1.76744
,0.5,10,,2,200.59,25,5,2.26744
,0.5,10,,2,200.59,25,6,2.7093
,0.5,10,,2,200.59,25,7,3.186045
,0.5,10,,2,200.59,25,8,2.55814
,0.5,10,,2,200.59,25,9,2.081395
,0.5,10,,2,200.59,30,7,15.7585
,0.5,10,,2,200.59,40,7,14.4906
,0.5,10,,2,200.59,50,7,13.5849
,0.5,10,,2,200.59,60,7,10.0226
,0.5,2,,2,200.59,60,7,3.332539078
,0.5,3.5,,2,200.59,60,7,5.011870974
,0.5,5,,2,200.59,60,7,6.175645231
,0.5,6.5,,2,200.59,60,7,6.984005553
,0.5,15,4.26,1.6,112.41,25,4,5.8953525
,0.5,15,4.26,1.6,112.41,25,5,6.26163
,0.5,15,4.26,1.6,112.41,25,6,6.6976725
,0.5,15,4.26,1.6,112.41,25,7,7.3081425
,0.5,15,4.26,1.6,112.41,25,8,6.9418575
,0.5,15,4.26,1.6,112.41,25,9,6.5581425
,10,20,4.01,2.33,207.2,25,3,1.503986
,10,20,4.01,2.33,207.2,25,4,1.822118
,10,20,4.01,2.33,207.2,25,5,1.968552
,10,20,4.01,2.33,207.2,25,6,1.993442
,10,20,4.01,2.33,207.2,25,8,1.991128
,10,20,4.01,2.33,207.2,25,10,1.990744
,10,20,4.01,2.33,207.2,25,12,1.980708
,10,19.7739,4.01,2.33,207.2,25,6,1.974625609
,10,39.8974,4.01,2.33,207.2,25,6,3.946247844
,10,59.9377,4.01,2.33,207.2,25,6,5.940161721
,10,79.8473,4.01,2.33,207.2,25,6,7.832972222
,10,99.8578,4.01,2.33,207.2,25,6,9.856464149
,10,20,4.01,2.33,207.2,25,6,1.991412
,15,20,4.01,2.33,207.2,25,6,0.588957333
,20,20,4.01,2.33,207.2,25,6,0.557669
,25,20,4.01,2.33,207.2,25,6,0.3980368
,30,20,4.01,2.33,207.2,25,6,0.403272
,10,20,4.26,1.6,112.41,25,3,1.43839
,10,20,4.26,1.6,112.41,25,4,1.721802
,10,20,4.26,1.6,112.41,25,5,1.943472
,10,20,4.26,1.6,112.41,25,6,1.989584
,10,20,4.26,1.6,112.41,25,8,1.989194
,10,20,4.26,1.6,112.41,25,10,1.983026
,10,20,4.26,1.6,112.41,25,12,1.982636
,10,19.778,4.26,1.6,112.41,25,12,1.973929445
,10,39.9198,4.26,1.6,112.41,25,12,3.93619208
,10,59.7488,4.26,1.6,112.41,25,12,5.897505304
,10,79.9225,4.26,1.6,112.41,25,12,7.757693447
,10,99.8944,4.26,1.6,112.41,25,12,9.809819879
,10,20,4.26,1.6,112.41,25,6,1.991412
,15,20,4.26,1.6,112.41,25,6,0.462985333
,20,20,4.26,1.6,112.41,25,6,0.529755
,25,20,4.26,1.6,112.41,25,6,0.358528
,30,20,4.26,1.6,112.41,25,6,0.393251333
0.1,0.2,200,4.01,2.33,207.2,25,,449.032
0.1,0.4,200,4.01,2.33,207.2,25,,303.871
0.1,0.6,200,4.01,2.33,207.2,25,,269.6773333
0.1,0.8,200,4.01,2.33,207.2,25,,216.77425
0.1,1.2,200,4.01,2.33,207.2,25,,164.5161667
0.1,0.6,400,4.01,2.33,207.2,25,,651.213
0.1,0.6,500,4.01,2.33,207.2,25,,694.34
,1,100,4.01,2.33,207.2,25,4,95.1755
,1,100,4.01,2.33,207.2,25,5,97.4934
,1,100,4.01,2.33,207.2,25,6,98.6026
,1,100,4.01,2.33,207.2,25,7,96.3841
,1,100,4.01,2.33,207.2,25,8,94.6954
,1,50,4.01,2.33,207.2,25,5,49.45025
,1,100,4.01,2.33,207.2,25,5,98.563
,1,150,4.01,2.33,207.2,25,5,143.06805
,1,200,4.01,2.33,207.2,25,5,185.0456
,1,250,4.01,2.33,207.2,25,5,225.35375
,0.2,100,4.01,2.33,207.2,25,5,327.6515
,0.4,100,4.01,2.33,207.2,25,5,176.752
,0.6,100,4.01,2.33,207.2,25,5,129.9873333
,0.8,100,4.01,2.33,207.2,25,5,112.239625
,1,100,4.01,2.33,207.2,25,5,98.6742
,1.2,100,4.01,2.33,207.2,25,5,82.78091667
,1,100,4.3,1.6,65.93,25,5,68.132
,1,100,4.38,1.5,54.94,25,5,63.0161
,1,100,4.19,1.9,63.55,25,5,65.813
,1,100,4.04,1.91,58.69,25,5,64.4575
25,0.5,100,4.01,2.33,207.2,45,2,11.6183
25,0.5,100,4.01,2.33,207.2,45,3,53.9419
25,0.5,100,4.01,2.33,207.2,45,4,146.888
25,0.5,100,4.01,2.33,207.2,45,5,173.444
25,0.5,100,4.01,2.33,207.2,45,6,184.232
25,0.5,100,4.01,2.33,207.2,45,7,188.382
25,0.5,60,4.01,2.33,207.2,45,5.6,113.986
25,0.5,80,4.01,2.33,207.2,45,5.6,144.755
25,0.5,100,4.01,2.33,207.2,45,5.6,174.126
25,0.5,120,4.01,2.33,207.2,45,5.6,183.916
