SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
,1,15.3928,4.04,1.91,58.69,30,6,2.651278014
,1,37.155,4.04,1.91,58.69,30,6,2.651278014
,1,67.4098,4.04,1.91,58.69,30,6,2.651278014
,1,107.219,4.04,1.91,58.69,30,6,2.651278014
,1,154.459,4.04,1.91,58.69,30,6,2.651278014
,2.5,17.9006,4.04,1.91,58.69,30,6,2.579669294
,2.5,42.0845,4.04,1.91,58.69,30,6,2.579669294
,2.5,73.3978,4.04,1.91,58.69,30,6,2.579669294
,2.5,10.576,4.04,1.91,58.69,30,6,2.601190533
,2.5,26.3314,4.04,1.91,58.69,30,6,2.601190533
,2.5,49.8646,4.04,1.91,58.69,30,6,2.601190533
,2.5,83.7689,4.04,1.91,58.69,30,6,2.601190533
,2.5,124.157,4.04,1.91,58.69,30,6,2.601190533
,2.5,169.08,4.04,1.91,58.69,30,6,2.601190533
,2.5,216.597,4.04,1.91,58.69,30,6,2.601190533
,2.5,262.167,4.04,1.91,58.69,30,6,2.601190533
,2.5,20.2963,4.04,1.91,58.69,30,6,2.525433553
,2.5,39.9418,4.04,1.91,58.69,30,6,2.525433553
,2.5,68.6618,4.04,1.91,58.69,30,6,2.525433553
,2.5,107.104,4.04,1.91,58.69,30,6,2.525433553
,2.5,150.731,4.04,1.91,58.69,30,6,2.525433553
,2.5,198.246,4.04,1.91,58.69,30,6,2.525433553
,2.5,245.113,4.04,1.91,58.69,30,6,2.525433553
,2.5,288.73,4.04,1.91,58.69,30,6,2.525433553
,1,3.19149,4.26,1.6,112.41,30,6,2.616475514
,1,14.8936,4.26,1.6,112.41,30,6,2.616475514
,1,38.2979,4.26,1.6,112.41,30,6,2.616475514
,1,62.234,4.26,1.6,112.41,30,6,2.616475514
,1,102.128,4.26,1.6,112.41,30,6,2.616475514
,1,151.064,4.26,1.6,112.41,30,6,2.616475514
,1,196.277,4.26,1.6,112.41,30,6,2.616475514
,1,243.617,4.26,1.6,112.41,30,6,2.616475514
,1,23.1787,4.3,1.6,65.93,30,6,2.59900924
,1,48.3147,4.3,1.6,65.93,30,6,2.59900924
,1,80.3575,4.3,1.6,65.93,30,6,2.59900924
,1,121.433,4.3,1.6,65.93,30,6,2.59900924
350,1,0.664286,4.19,1.9,63.55,25,,-0.109478384
350,1,1.02857,4.19,1.9,63.55,25,,-0.109478384
350,1,0.111429,4.19,1.9,63.55,25,,0.195052367
350,1,0.458571,4.19,1.9,63.55,25,,0.195052367
350,1,0.784286,4.19,1.9,63.55,25,,0.195052367
350,1,0.141429,4.19,1.9,63.55,25,,-0.145093043
350,1,0.655714,4.19,1.9,63.55,25,,-0.145093043
350,1,1.05,4.19,1.9,63.55,25,,-0.145093043
350,1,0.124286,4.19,1.9,63.55,25,,0.108006576
350,1,0.192857,4.19,1.9,63.55,25,,0.108006576
350,1,1.14429,4.19,1.9,63.55,25,,0.108006576
350,1,0.0513064,4.26,1.6,112.41,25,,0.591409678
350,1,0.166746,4.26,1.6,112.41,25,,0.591409678
350,1,0.252257,4.26,1.6,112.41,25,,0.591409678
350,1,0.654157,4.26,1.6,112.41,25,,0.591409678
350,1,0.940618,4.26,1.6,112.41,25,,0.591409678
350,1,1.34679,4.26,1.6,112.41,25,,0.591409678
350,1,0.230879,4.26,1.6,112.41,25,,0.137078633
350,1,0.8038,4.26,1.6,112.41,25,,0.137078633
350,1,1.59477,4.26,1.6,112.41,25,,0.137078633
